rodzaj_egzaminu;poziom_egzaminu;przedmiot;plec;rok;wartosc
ustny;nie dotyczy;jezyk hiszpanski;ogolem;2017;79.4
ustny;nie dotyczy;jezyk wloski;ogolem;2017;81.7
pisemny;podstawowy;jezyk polski;kobiety;2018;58.2
pisemny;podstawowy;jezyk bialoruski;kobiety;2018;73.4
pisemny;podstawowy;jezyk litewski;kobiety;2018;79.6
pisemny;podstawowy;jezyk ukrainski;kobiety;2018;78.5
pisemny;podstawowy;matematyka;kobiety;2018;55.2
pisemny;podstawowy;jezyk angielski;kobiety;2018;72.4
pisemny;podstawowy;jezyk niemiecki;kobiety;2018;62.0
pisemny;podstawowy;jezyk francuski;kobiety;2018;81.8
pisemny;podstawowy;jezyk rosyjski;kobiety;2018;62.4
pisemny;podstawowy;jezyk hiszpanski;kobiety;2018;78.6
pisemny;podstawowy;jezyk wloski;kobiety;2018;81.5
pisemny;podstawowy;jezyk polski;mezczyzni;2018;51.9
pisemny;podstawowy;jezyk bialoruski;mezczyzni;2018;62.5
pisemny;podstawowy;jezyk litewski;mezczyzni;2018;77.0
pisemny;podstawowy;jezyk ukrainski;mezczyzni;2018;72.7
pisemny;podstawowy;matematyka;mezczyzni;2018;56.1
pisemny;podstawowy;jezyk angielski;mezczyzni;2018;73.9
pisemny;podstawowy;jezyk niemiecki;mezczyzni;2018;60.3
pisemny;podstawowy;jezyk francuski;mezczyzni;2018;83.3
pisemny;podstawowy;jezyk rosyjski;mezczyzni;2018;57.7
pisemny;podstawowy;jezyk hiszpanski;mezczyzni;2018;80.0
pisemny;podstawowy;jezyk wloski;mezczyzni;2018;82.5
pisemny;podstawowy;jezyk polski;ogolem;2018;55.3
pisemny;podstawowy;jezyk bialoruski;ogolem;2018;70.0
pisemny;podstawowy;jezyk litewski;ogolem;2018;78.8
pisemny;podstawowy;jezyk ukrainski;ogolem;2018;76.4
pisemny;podstawowy;matematyka;ogolem;2018;55.6
pisemny;podstawowy;jezyk angielski;ogolem;2018;73.1
pisemny;podstawowy;jezyk niemiecki;ogolem;2018;61.4
pisemny;podstawowy;jezyk francuski;ogolem;2018;82.2
pisemny;podstawowy;jezyk rosyjski;ogolem;2018;60.7
pisemny;podstawowy;jezyk hiszpanski;ogolem;2018;79.0
pisemny;podstawowy;jezyk wloski;ogolem;2018;81.8
pisemny;rozszerzony;jezyk polski;kobiety;2018;51.8
pisemny;rozszerzony;jezyk bialoruski;kobiety;2018;100.0
pisemny;rozszerzony;jezyk litewski;kobiety;2018;87.3
pisemny;rozszerzony;jezyk ukrainski;kobiety;2018;85.1
pisemny;rozszerzony;matematyka;kobiety;2018;31.5
pisemny;rozszerzony;jezyk angielski;kobiety;2018;56.8
pisemny;rozszerzony;jezyk niemiecki;kobiety;2018;53.7
pisemny;rozszerzony;jezyk francuski;kobiety;2018;67.3
pisemny;rozszerzony;jezyk rosyjski;kobiety;2018;59.5
pisemny;rozszerzony;jezyk hiszpanski;kobiety;2018;55.6
